INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.catalina.startup.Catalina initDirs
INFO   | jvm 1    | 2014/06/25 12:51:02 | SEVERE: Cannot find specified temporary folder at /home/depellegrin/git/tomcat-lsd/tomcat-install/tomcat_shared/temp
INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.tomcat.util.digester.Digester startElement
INFO   | jvm 1    | 2014/06/25 12:51:02 | SEVERE: Begin event threw exception
INFO   | jvm 1    | 2014/06/25 12:51:02 | java.lang.ClassNotFoundException: org.apache.catalina.core.JasperListener
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.net.URLClassLoader$1.run(URLClassLoader.java:366)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.net.URLClassLoader$1.run(URLClassLoader.java:355)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.net.URLClassLoader.findClass(URLClassLoader.java:354)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.lang.ClassLoader.loadClass(ClassLoader.java:423)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.lang.ClassLoader.loadClass(ClassLoader.java:356)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.tomcat.util.digester.ObjectCreateRule.begin(ObjectCreateRule.java:116)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.tomcat.util.digester.Digester.startElement(Digester.java:1184)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.startElement(AbstractSAXParser.java:506)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.AbstractXMLDocumentParser.emptyElement(AbstractXMLDocumentParser.java:182)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanStartElement(XMLDocumentFragmentScannerImpl.java:1303)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$FragmentContentDriver.next(XMLDocumentFragmentScannerImpl.java:2717)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl.next(XMLDocumentScannerImpl.java:607)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanDocument(XMLDocumentFragmentScannerImpl.java:489)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(XML11Configuration.java:835)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(XML11Configuration.java:764)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.XMLParser.parse(XMLParser.java:123)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.parse(AbstractSAXParser.java:1210)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at com.sun.org.apache.xerces.internal.jaxp.SAXParserImpl$JAXPSAXParser.parse(SAXParserImpl.java:568)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.tomcat.util.digester.Digester.parse(Digester.java:1457)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.catalina.startup.Catalina.load(Catalina.java:551)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.catalina.startup.Catalina.start(Catalina.java:613)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.lang.reflect.Method.invoke(Method.java:601)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.catalina.startup.Bootstrap.start(Bootstrap.java:351)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.apache.catalina.startup.Bootstrap.main(Bootstrap.java:485)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.lang.reflect.Method.invoke(Method.java:601)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at org.tanukisoftware.wrapper.WrapperStartStopApp.run(WrapperStartStopApp.java:264)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 	at java.lang.Thread.run(Thread.java:722)
INFO   | jvm 1    | 2014/06/25 12:51:02 | 
INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | 2014/06/25 12:51:02 | WARNING: Catalina.start using /home/depellegrin/git/tomcat-lsd/tomcat-install/tomcat_shared/conf/server.xml: Error at (29, 67) : org.apache.catalina.core.JasperListener
INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.catalina.startup.Catalina start
INFO   | jvm 1    | 2014/06/25 12:51:02 | SEVERE: Cannot start server. Server instance is not configured.
WARN   | wrapper  | 2014/06/25 12:51:37 | ------------------------------------------------------------------------
WARN   | wrapper  | 2014/06/25 12:51:37 | Shutdown: Timed out waiting for a signal from the JVM.
WARN   | wrapper  | 2014/06/25 12:51:37 | The JVM was launched with debug options so this may be because the JVM
WARN   | wrapper  | 2014/06/25 12:51:37 | is currently suspended by a debugger.  Any future timeouts during this
WARN   | wrapper  | 2014/06/25 12:51:37 | JVM invocation will be silently ignored.
WARN   | wrapper  | 2014/06/25 12:51:37 | ------------------------------------------------------------------------
STATUS | wrapper  | 2014/06/27 15:13:55 | TERM trapped.  Forcing immediate shutdown.
ERROR  | wrapper  | 2014/06/27 15:13:56 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/06/27 15:13:56 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2014/06/27 15:13:56 | <-- Wrapper Stopped
